|  dataIn  | diDB  | dbOut | dbAC  | acDB  |  dbX  |  xDB  |  dbY  |  yDB  | aluDB |dbBALU |dbAALU | dataOut  |
| 00000000 |   0   |   1   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   | 00000100 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00000100 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   1   |   0   | 00000100 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   1   | 00000100 |
| 00000000 |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   1   |   0   |   0   | 00000100 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00000100 |
| 00000000 |   0   |   1   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   | 00000011 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00000011 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   1   |   0   | 00000011 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   1   | 00000011 |
| 00000000 |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   1   |   0   |   0   | 00000011 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00000011 |
| 00000000 |   0   |   1   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   | 00000010 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00000010 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   1   |   0   | 00000010 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   1   | 00000010 |
| 00000000 |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   1   |   0   |   0   | 00000010 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00000010 |
| 00000000 |   0   |   1   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   | 00000001 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00000001 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   1   |   0   | 00000001 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   1   | 00000001 |
| 00000000 |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   1   |   0   |   0   | 00000001 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00000001 |
| 00000000 |   0   |   1   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0   |   0   | 00000000 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00000000 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   1   |   0   | 00000000 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   1   | 00000000 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   1   |   0   |   0   | 00000000 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 00000000 |
| 00000000 |   0   |   1   |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   0   | 11111111 |
| 00000000 |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   | 11111111 |
